Número,Marcas,Domínios,"símbolo ""18+""","aviso ""proibido para menores de 18 anos""",Jogue com responsabilidade,Apostas são atividades com riscos de perdas financeiras.,Apostar pode levar à perda de dinheiro.,As chances são de que você está prestes a perder,Aposta não é investimento.,Apostar pode causar dependência.,Apostas esportivas: pratique o jogo seguro.,Apostar não deixa ninguém rico.,Saiba quando apostar e quando parar.,Aposta é assunto para adultos.,Informação Clara (acesso direto pelo usuário),Ostensiva (chama atenção do usuário),Proporcional (minimo 10%),Destacada (contraste com a cor de fundo),Site acessado em DD/MM/AAAA
46,Betesporte,betesporte.com,,,,,,,,,,,,,,,,,
47,Betex,betex.com,,,,,,,,,,,,,,,,,
48,Betfair,betfair.com,,,,,,,,,,,,,,,,,
49,BetFast,betfast.io,,,,,,,,,,,,,,,,,
50,BetFive,betfive.io,,,,,,,,,,,,,,,,,
51,BetFortuna,betfortuna.com.br,,,,,,,,,,,,,,,,,
52,Bet Fusion,betfusion.bet,,,,,,,,,,,,,,,,,
53,bet gorillas,betgorillas.com,,,,,,,,,,,,,,,,,
54,Betinha,betinha.com,,,,,,,,,,,,,,,,,
55,Betman,betman.com.br,,,,,,,,,,,,,,,,,
56,Betmillion,betmillion.io,,,,,,,,,,,,,,,,,
57,Betmotion,Betmotion.com.br,,,,,,,,,,,,,,,,,
58,Betnacional,betnacional.com,,,,,,,,,,,,,,,,,
59,betpark,betpark.com,,,,,,,,,,,,,,,,,
60,betpix365,betpix365.com,,,,,,,,,,,,,,,,,
61,Betsat,Betsat,,,,,,,,,,,,,,,,,
62,Betspeed,Betspeed.com,,,,,,,,,,,,,,,,,
63,Betsson,betsson.com,,,,,,,,,,,,,,,,,
64,Bet Sul,betsul.com,,,,,,,,,,,,,,,,,
65,Bet Vera,betvera.com,,,,,,,,,,,,,,,,,
66,betvip,betvip.com,,,,,,,,,,,,,,,,,
67,Betway,betway.com,,,,,,,,,,,,,,,,,
68,Bicho no Pix,bichonopix.com,,,,,,,,,,,,,,,,,
69,Big Win Free,bigwinfree.com,,,,,,,,,,,,,,,,,
70,Blaze,Blaze.com,,,,,,,,,,,,,,,,,
71,Bolsa de Aposta,bolsadeaposta.com,,,,,,,,,,,,,,,,,
72,Betano,br.betano.com,,,,,,,,,,,,,,,,,
73,NossaBet,br.nossabet.com.br,,,,,,,,,,,,,,,,,
74,Parimatch,br.parimatch.com,,,,,,,,,,,,,,,,,
75,BR4Bet,br4bet.com,,,,,,,,,,,,,,,,,
76,Brasil bet,brasilbet.com,,,,,,,,,,,,,,,,,
77,Brazino777,brazino777.com,,,,,,,,,,,,,,,,,
78,BRBET,brbet.com,,,,,,,,,,,,,,,,,
79,BRX Gaming,brx.bet,,,,,,,,,,,,,,,,,
80,Bullsbet,bullsbet.net,,,,,,,,,,,,,,,,,
81,Caesar's,caesarsports.com.br,,,,,,,,,,,,,,,,,
82,Casa de Apostas,casadeapostas.com,,,,,,,,,,,,,,,,,
83,Cassino Pix,cassinopix.com,,,,,,,,,,,,,,,,,
84,CB ESPORTES,cbesportes.com,,,,,,,,,,,,,,,,,
85,Cbet,cbet.gg,,,,,,,,,,,,,,,,,
86,Chegou Bet,chegoubet.com.br,,,,,,,,,,,,,,,,,
87,Claro Bet,claro.bet,,,,,,,,,,,,,,,,,
88,Clbet,clbet.com,,,,,,,,,,,,,,,,,
89,Dashboard Fund,dashboard.fund,,,,,,,,,,,,,,,,,
90,Davbet,davbet.com,,,,,,,,,,,,,,,,,
91,donald bet,donald.bet,,,,,,,,,,,,,,,,,
92,DONOS DA BOLA,donosdabola.io,,,,,,,,,,,,,,,,,
93,Dupoc,dupoc.com,,,,,,,,,,,,,,,,,
94,Elisa.bet,elisa.bet,,,,,,,,,,,,,,,,,
95,Esporte 365,esporte365.com,,,,,,,,,,,,,,,,,
96,ESPORTES DA SORTE,esportesdasorte.com,,,,,,,,,,,,,,,,,
97,EsportivaBet,esportiva.bet,,,,,,,,,,,,,,,,,
98,ESPORTIVA VIP,esportivavip.com,,,,,,,,,,,,,,,,,
99,ESTADIUM,estadium.bet,,,,,,,,,,,,,,,,,
100,EstrelaBet,estrelabet.com,,,,,,,,,,,,,,,,,
101,F12.bet,f12.bet/prejogo/,,,,,,,,,,,,,,,,,
102,Faz1bet,faz1bet.com,,,,,,,,,,,,,,,,,
103,FazoBetAí,fazobetai.com,,,,,,,,,,,,,,,,,
104,FlaBet,flabet.com,,,,,,,,,,,,,,,,,
105,fogo777,fogo777.com,,,,,,,,,,,,,,,,,
106,Fortuna Play,fortunaplay.bet,,,,,,,,,,,,,,,,,
107,Fulltbet,fulltbet.com,,,,,,,,,,,,,,,,,
108,Galera Bet,galera.bet,,,,,,,,,,,,,,,,,
109,ganhabet,ganhabet.com,,,,,,,,,,,,,,,,,
110,GeralBet,geralbet.com,,,,,,,,,,,,,,,,,
111,GingaBet,ginga.bet,,,,,,,,,,,,,,,,,
112,GoldeBet,goldebet.com,,,,,,,,,,,,,,,,,
113,GRXBet,grxbet.com,,,,,,,,,,,,,,,,,
114,H2 Bet,h2.bet,,,,,,,,,,,,,,,,,
115,H2 Bet,h2bet.com,,,,,,,,,,,,,,,,,
116,Hanzbet,hanzbet.com,,,,,,,,,,,,,,,,,
117,Hiper Bet,hiperbetbrasil.com,,,,,,,,,,,,,,,,,
118,ijogo,ijogo.com,,,,,,,,,,,,,,,,,
119,IN2BET,in2bet.com,,,,,,,,,,,,,,,,,
120,InplayBet,inplaybet.com,,,,,,,,,,,,,,,,,
121,Bet Warrior,international.betwarrior.bet,,,,,,,,,,,,,,,,,
122,Jackpot City,jackpotcitycasino.com,,,,,,,,,,,,,,,,,
123,JetBet,jetbet365.com,,,,,,,,,,,,,,,,,
124,Joga Limpo,jogalimpo.com,,,,,,,,,,,,,,,,,
125,JOGANHO,joganho.bet,,,,,,,,,,,,,,,,,
126,Jogo de Ouro,jogodeouro.bet,,,,,,,,,,,,,,,,,
127,JonBet,jonbet.com,,,,,,,,,,,,,,,,,
128,Kbet,kbetsports.bet,,,,,,,,,,,,,,,,,
129,King Panda,kingpanda.com,,,,,,,,,,,,,,,,,
130,KTO,KTO.com,,,,,,,,,,,,,,,,,
131,LampionsBet,lampions.bet,,,,,,,,,,,,,,,,,
132,Lance de Sorte,lancedesorte.com,,,,,,,,,,,,,,,,,
133,Lanistar,lanistar.com,,,,,,,,,,,,,,,,,
134,Latinbet,latinbet.vip,,,,,,,,,,,,,,,,,
135,Leo Vegas,leovegas.com/pt-br,,,,,,,,,,,,,,,,,
136,Liderbet,liderbet.com.br,,,,,,,,,,,,,,,,,
137,Logame,logame.bet,,,,,,,,,,,,,,,,,
138,LogFlix,logflix.bet,,,,,,,,,,,,,,,,,
139,Lotoaposta,lotoaposta.com,,,,,,,,,,,,,,,,,
140,lotogreen,lotogreen.com,,,,,,,,,,,,,,,,,
141,LotoLegal,Lotolegal.com,,,,,,,,,,,,,,,,,
142,LotoLegal,Lotolegal.com.br,,,,,,,,,,,,,,,,,
143,Não informado,lotominas.com.br,,,,,,,,,,,,,,,,,
144,Lottoland,lottoland.com,,,,,,,,,,,,,,,,,
145,LottoMaster,lottomaster.bet,,,,,,,,,,,,,,,,,
146,LUCK.BET,luck.bet,,,,,,,,,,,,,,,,,
147,Luckydays,luckydays.bet.br,,,,,,,,,,,,,,,,,
148,Lumosbet,lumosbet.com,,,,,,,,,,,,,,,,,
149,Luva.bet,luva.bet/sportsbook/Football/Brazil,,,,,,,,,,,,,,,,,
150,Não informado,ma.embralote.com.br,,,,,,,,,,,,,,,,,
151,Magicjackpot,magicjackpot.bet.br,,,,,,,,,,,,,,,,,
152,Marjosports,marjosports.com.br,,,,,,,,,,,,,,,,,
153,MatchBook,matchbook.com,,,,,,,,,,,,,,,,,
154,MaximaBet,MaximaBet.net,,,,,,,,,,,,,,,,,
155,MC Games,mcgames.bet,,,,,,,,,,,,,,,,,
156,MEGAPIX,megapix.bet,,,,,,,,,,,,,,,,,
157,Megaposta,megaposta.com,,,,,,,,,,,,,,,,,
158,Meridianbet,meridianbet.com,,,,,,,,,,,,,,,,,
159,MetBet,metbet.io,,,,,,,,,,,,,,,,,
160,MetGol 100%,metgol.io,,,,,,,,,,,,,,,,,
161,MMABet,mmabet.com,,,,,,,,,,,,,,,,,
162,MonteCarlos,montecarlos.com.br,,,,,,,,,,,,,,,,,
163,MonteCarlosbet,montecarlosbet.bet,,,,,,,,,,,,,,,,,
164,Mr. Jack Bet,mrjack.bet,,,,,,,,,,,,,,,,,
165,multibet,multibet.games,,,,,,,,,,,,,,,,,
166,Mundifortuna,mundifortuna.com.br,,,,,,,,,,,,,,,,,
167,Netpix,netpix.bet,,,,,,,,,,,,,,,,,
168,Novibet,novibet.com,,,,,,,,,,,,,,,,,
169,obabet,obabet.com,,,,,,,,,,,,,,,,,
170,Odd Fair,oddfair.com,,,,,,,,,,,,,,,,,
171,oleybet,oleybet.com,,,,,,,,,,,,,,,,,
172,ONABET,onabet.com,,,,,,,,,,,,,,,,,
173,OnlyBets,onlybets.tv,,,,,,,,,,,,,,,,,
174,OTEN,oten.bet,,,,,,,,,,,,,,,,,
175,p9,p9.com,,,,,,,,,,,,,,,,,
176,Pagamentos.bet,pagamentos.bet,,,,,,,,,,,,,,,,,
177,Pagbet,pagbet.com,,,,,,,,,,,,,,,,,
178,Pagol,pagol.bet,,,,,,,,,,,,,,,,,
179,PAPI GAMES,papigames.com,,,,,,,,,,,,,,,,,
180,Não informado,parana.bplay.com.br,,,,,,,,,,,,,,,,,
181,Pinbet,pinbet.io,,,,,,,,,,,,,,,,,
182,Pinnacle,pinnacle.com,,,,,,,,,,,,,,,,,
183,PixBet,pixbet.com,,,,,,,,,,,,,,,,,
184,pixhora,pixhora.com,,,,,,,,,,,,,,,,,
185,pimile,pixmile.com,,,,,,,,,,,,,,,,,
186,Play7,Play7.bet,,,,,,,,,,,,,,,,,
187,playbonds,playbonds.com,,,,,,,,,,,,,,,,,
188,Playpix,playpix.com,,,,,,,,,,,,,,,,,
189,Play Uzu,playuzu.com.br,,,,,,,,,,,,,,,,,
190,PokerStars,pokerstars.com,,,,,,,,,,,,,,,,,
191,Não informado,pr.apostou.com,,,,,,,,,,,,,,,,,
192,Não informado,pr.betplay.bet,,,,,,,,,,,,,,,,,
193,Não informado,pr.nossabet.com.br,,,,,,,,,,,,,,,,,
194,Não informado,pr.pixbet.com.br,,,,,,,,,,,,,,,,,
195,PUSKÁS BET,puskasbet.com.br,,,,,,,,,,,,,,,,,
196,QGBet,qg-bet.com,,,,,,,,,,,,,,,,,
197,R7,r7.bet,,,,,,,,,,,,,,,,,
198,REALS,realsbet.com,,,,,,,,,,,,,,,,,
199,Receba.com,receba.com,,,,,,,,,,,,,,,,,
200,ReidoPitaco,reidopitaco.com.br,,,,,,,,,,,,,,,,,
201,Responsa,responsa.bet,,,,,,,,,,,,,,,,,
202,Ricobet,ricobet.com.br,,,,,,,,,,,,,,,,,
203,Rio Jogos,riojogos.com,,,,,,,,,,,,,,,,,
204,Rivalo,rivalo.com,,,,,,,,,,,,,,,,,
205,Royal Panda,royalpanda.com/pt-br,,,,,,,,,,,,,,,,,
206,SeguroBet,segurobet.com,,,,,,,,,,,,,,,,,
207,SeuBet,seubet.com,,,,,,,,,,,,,,,,,
208,SorteBet,sorte.bet,,,,,,,,,,,,,,,,,
209,Sorte na Bet,sortenabet.com,,,,,,,,,,,,,,,,,
210,Sorte online,sorteonline.com,,,,,,,,,,,,,,,,,
211,Spin365,spin365.com.br,,,,,,,,,,,,,,,,,
212,Spin Palace,spinpalace.com,,,,,,,,,,,,,,,,,
213,Sportingbet,sportingbet.com,,,,,,,,,,,,,,,,,
214,IO,sportsbet.io,,,,,,,,,,,,,,,,,
215,SportyBet,sportybet.com,,,,,,,,,,,,,,,,,
216,Stake,Stake.com,,,,,,,,,,,,,,,,,
217,STARTBET,startbet.io,,,,,,,,,,,,,,,,,
218,Superbet,superbet.com,,,,,,,,,,,,,,,,,
219,SupremaBet,SupremaBet.com,,,,,,,,,,,,,,,,,
220,Tivobet,tivo.bet,,,,,,,,,,,,,,,,,
221,Tropino,tropino.com,,,,,,,,,,,,,,,,,
222,Única Bet,unicabet.com,,,,,,,,,,,,,,,,,
223,UPBETBR,upbet.com,,,,,,,,,,,,,,,,,
224,Ux,uxbet.com.br,,,,,,,,,,,,,,,,,
225,vaidebet,vaidebet.com,,,,,,,,,,,,,,,,,
226,Vbet,Vbet.lat,,,,,,,,,,,,,,,,,
227,Verdinha,verdinhabet.com,,,,,,,,,,,,,,,,,
228,Vertbet,vertbet.com,,,,,,,,,,,,,,,,,
229,Vivaro,vivaro.com,,,,,,,,,,,,,,,,,
230,vivasorte,vivasortebet.com,,,,,,,,,,,,,,,,,
231,Wjcasino,wjcasino.com,,,,,,,,,,,,,,,,,
232,Xbet,xbetsports.bet,,,,,,,,,,,,,,,,,
233,XPGames,xpgames.bet,,,,,,,,,,,,,,,,,
234,Zbet,zbetsports.bet,,,,,,,,,,,,,,,,,
235,Zedocash,Zedocash.com,,,,,,,,,,,,,,,,,
236,Zona de Jogo,zonadejogo.com,,,,,,,,,,,,,,,,,
